ticker,company,category,likely_event_year,source_hint,priority,verification_status,notes
HRMY,Harmony Biosciences,COMPLETED_DEAL,2023,EDGAR possible acquisition 2023; sleep disorder pitolisant; check if acquired or still public,MED,CANDIDATE,Sleep neurology. Check if acquired by 2025. If still public check for SA signals.
ELTK,Electra Karma? No,,,,LOW,CANDIDATE,Non-biotech — exclude.
GKOS,Glaukos Corporation,ACTIVIST_NO_DEAL,2022,EDGAR possible activist; medical devices ophthalmic; adjacent to biotech,LOW,CANDIDATE,Ophthalmic devices. Not pure biotech. Include as reference only.
CTIC,CTI BioPharma,COMPLETED_DEAL,2023,EDGAR 8-K SOBI deal 2023; pacritinib MF,HIGH,CANDIDATE,Duplicate — use single CTIC entry.
AVVW,Avita Medical,ACTIVIST_NO_DEAL,2022,EDGAR SC 13D or proxy; regenerative skin; check,LOW,CANDIDATE,Medical devices/regenerative medicine. Check for 13D and whether biotech-proximate.
NCPL,Netcapital? No,,,,LOW,CANDIDATE,FinTech — exclude.
ACER,Acer Therapeutics,FAILED_REVIEW,2022,EDGAR possible SA; rare disease OTC cycle disorder; very small cap,LOW,CANDIDATE,Rare disease. Very small cap. Below target range likely.
DCPH,Deciphera Pharmaceuticals,COMPLETED_DEAL,2023,EDGAR possible acquisition 2023; GIST ripretinib; check if acquired,HIGH,CANDIDATE,GIST cancer treatment. Check if Deciphera was acquired by 2023. If so find deal terms and prior process signals.
IDXX,IDEXX Laboratories,ACTIVIST_NO_DEAL,2022,EDGAR possible activist; animal health diagnostics; above range,LOW,CANDIDATE,Animal health diagnostics. Above target range. Exclude or reference only.
CRVS,Corvus Pharmaceuticals,FAILED_REVIEW,2023,EDGAR possible SA; CPI-006 anti-CD73; small cap; check,LOW,CANDIDATE,Immuno-oncology. Very small cap. Check for SA or restructuring.
SNDX,Syndax Pharmaceuticals,COMPLETED_DEAL,2023,EDGAR 8-K Incyte deal Nov 2023; ~$2.4B; revumenib axatilimab; above range,MED,CANDIDATE,Slightly above $1.5B range at deal. Include as reference. Confirm Incyte as acquirer.
RGNX,REGENXBIO,FAILED_REVIEW,2023,EDGAR possible SA or restructuring; gene therapy AAV platform; check,MED,CANDIDATE,Gene therapy. Had pipeline setbacks. Check for SA language in 8-Ks.
KYMR,Kymera Therapeutics,ROFR_CASE,2022,EDGAR 8-K Sanofi collaboration with possible ROFR; targeted protein degradation; check,MED,CANDIDATE,Protein degradation. Sanofi partnership. Check for ROFR/ROFN language and scope.
APLS,Apellis Pharmaceuticals,ROFR_CASE,2022,EDGAR 8-K possible partner ROFR; C3 complement pegcetacoplan; check partnership agreements,MED,CANDIDATE,Complement biology. Had major partnership deals. Check for ROFR/ROFN language.
AVRO,AVROBIO,BANKRUPTCY,2023,EDGAR wind-down or SA 2023; gene therapy Fabry disease; check,MED,CANDIDATE,Gene therapy. Had pipeline and funding issues. Check for SA or wind-down announcement.
ACST,Acasti Pharma,FAILED_REVIEW,2022,EDGAR possible SA or reverse merger activity; omega-3 cardiovascular; small cap,LOW,CANDIDATE,Very small cap. Likely below target range. Check for any process signals.
ENOV,Enovis Corporation? No,,,,LOW,CANDIDATE,Medical devices — exclude.
INBX,Inhibrx,ASSET_SALE,2024,EDGAR Sanofi INBRX-101 deal 2024; ~$2.2B total; spin-out of remainder,HIGH,CANDIDATE,Already in seed. Verify exact structure and dates.
DCPH,Deciphera Pharmaceuticals,COMPLETED_DEAL,2023,EDGAR possible deal 2023-2024; check EDGAR for merger announcement 8-K,HIGH,CANDIDATE,GIST oncology. Confirm if acquired or still public. Priority verification target.
OVID,Ovid Therapeutics,CAPITAL_RAISE,2023,EDGAR capital raise after failed SA process possible; GABA-A epilepsy; check,MED,CANDIDATE,Neurology. Check whether any SA process was followed by equity raise.
ALGS,Aligos Therapeutics,FAILED_REVIEW,2023,EDGAR possible SA or restructuring; HBV RSV; check,MED,CANDIDATE,Antiviral company. Had setbacks. Check for SA or restructuring.
CGEM,Cullinan Oncology,FAILED_REVIEW,2023,EDGAR possible SA or restructuring; CLN-081 oncology; check,MED,CANDIDATE,Small oncology startup. Check for SA signals.
TGTX,TG Therapeutics,COMPLETED_DEAL,2024,EDGAR possible acquisition 2024-2025; ublituximab MS; check if acquired,MED,CANDIDATE,MS therapy. Had major commercial launch. Check if acquired by large pharma by 2025.
PRME,Prime Medicine,FAILED_REVIEW,2024,EDGAR restructuring or SA possible; prime editing; check,LOW,CANDIDATE,Gene editing technology. Check for restructuring or SA announcement.
KPTI,Karyopharm Therapeutics,COMPLETED_DEAL,2024,EDGAR possible acquisition 2024; selinexor XPO1; check if acquired,MED,CANDIDATE,Hematology oncology. Check if acquired or still public. May have had activist 13D.
CYCN,Cyclerion Therapeutics,FAILED_REVIEW,2022,EDGAR SA announcement 2022; soluble guanylate cyclase; check,HIGH,CANDIDATE,Spin-out from Ironwood. Announced strategic alternatives. Check SA 8-K date and outcome.
HALO,Halozyme Therapeutics,ACTIVIST_NO_DEAL,2021,EDGAR possible activist pressure; ENHANZE drug delivery; acquired ATRS not acquired itself,LOW,CANDIDATE,Halozyme is an acquirer not target. Only include if Halozyme itself had activist pressure for sale. Probably exclude.
ARDX,Ardelyx,FAILED_REVIEW,2022,EDGAR possible SA after FDA rejection of tenapanor; renal hyperphosphatemia; check,MED,CANDIDATE,Kidney disease. Had major FDA rejection setback. Check for SA announcement.
MGNX,MacroGenics,CAPITAL_RAISE,2023,EDGAR capital raise after pipeline setbacks; margetuximab and other assets; check for SA then raise,MED,CANDIDATE,Antibody company. Had major pipeline setbacks. Check for SA followed by equity raise pattern.
ELCQ,Electra Karma? No,,,,LOW,CANDIDATE,Non-biotech — exclude.
VSTM,Verastem Oncology,COMPLETED_DEAL,2024,EDGAR possible acquisition 2024; avutometinib defactinib RAS MAPK; check,MED,CANDIDATE,RAS/MAPK oncology. Had deal activity with Lilly. Check for acquisition announcement.
